entry,at,order
"The player ""ju @ dmawfvSpk0"" quits the game with a stack of 0.00.",2023-03-29T04:10:05.068Z,168006300506800
"""Jade @ xhsZ8jgTjv"" shows a 5♦, 3♥.",2023-03-29T04:09:59.970Z,168006299997000
"""danial @ kMYSUvj9gu"" shows a 2♠, 10♥.",2023-03-29T04:09:57.323Z,168006299732300
"""Dorothy @ wzpnFqlu9P"" shows a 6♥, 9♥.",2023-03-29T04:09:56.435Z,168006299643500
"""Joel @ DdWeAYaTSY"" shows a J♣, 8♣.",2023-03-29T04:09:56.421Z,168006299642100
"""qi @ ZzutxssYJ7"" shows a 5♠, 4♠.",2023-03-29T04:09:56.386Z,168006299638600
"""Ayatollah cum @ kaPGto3RBb"" shows a 6♠, 4♣.",2023-03-29T04:09:56.287Z,168006299628700
"""Fred @ EWw5rDVNJX"" shows a 7♠, 4♦.",2023-03-29T04:09:56.094Z,168006299609400
"-- ending hand #103 --",2023-03-29T04:09:55.522Z,168006299552201
"""Andrew @ yhDVFE17BV"" collected 7.58 from pot with Pair, 7's (combination: 7♦, 7♣, A♦, K♣, 8♠)",2023-03-29T04:09:55.522Z,168006299552200
"River: 6♣, 7♣, A♦, 8♠ [5♣]",2023-03-29T04:09:51.519Z,168006299151900
"Turn: 6♣, 7♣, A♦ [8♠]",2023-03-29T04:09:47.507Z,168006298750700
"Flop:  [6♣, 7♣, A♦]",2023-03-29T04:09:43.500Z,168006298350000
"""Andrew @ yhDVFE17BV"" shows a K♣, 7♦.",2023-03-29T04:09:39.498Z,168006297949802
"""ju @ dmawfvSpk0"" shows a Q♠, 3♠.",2023-03-29T04:09:39.498Z,168006297949801
"Uncalled bet of 1.28 returned to ""Andrew @ yhDVFE17BV""",2023-03-29T04:09:39.498Z,168006297949800
"Some players choose to not run it twice.",2023-03-29T04:09:38.680Z,168006297868000
"""Andrew @ yhDVFE17BV"" chooses to  run it twice.",2023-03-29T04:09:30.872Z,168006297087200
"Remaining players decide whether to run it twice.",2023-03-29T04:09:28.591Z,168006296859101
"""Fred @ EWw5rDVNJX"" folds",2023-03-29T04:09:28.591Z,168006296859100
"""qi @ ZzutxssYJ7"" folds",2023-03-29T04:09:19.993Z,168006295999300
"""Ayatollah cum @ kaPGto3RBb"" folds",2023-03-29T04:09:19.091Z,168006295909100
"""Joel @ DdWeAYaTSY"" folds",2023-03-29T04:09:17.255Z,168006295725500
"""sunny @ WuCshiDEpw"" folds",2023-03-29T04:08:36.433Z,168006291643300
