entry,at,order
"The player ""Danial @ kMYSUvj9gu"" quits the game with a stack of 0.00.",2023-03-15T04:01:56.254Z,167885291625400
"-- ending hand #112 --",2023-03-15T04:01:50.244Z,167885291024402
"""Joel @ DdWeAYaTSY"" collected 1.10 from pot with Flush, Qd High (combination: Q♦, 8♦, 6♦, 5♦, 3♦)",2023-03-15T04:01:50.244Z,167885291024401
"""Joel @ DdWeAYaTSY"" collected 9.50 from pot with Flush, Qd High (combination: Q♦, 8♦, 6♦, 5♦, 3♦)",2023-03-15T04:01:50.244Z,167885291024400
"River: 2♣, A♠, 8♦, 5♦ [Q♦]",2023-03-15T04:01:46.186Z,167885290618600
"""Joel @ DdWeAYaTSY"" shows a 6♦, 3♦.",2023-03-15T04:01:42.182Z,167885290218202
"""Juli @ dmawfvSpk0"" shows a K♣, A♦.",2023-03-15T04:01:42.182Z,167885290218201
"""Danial @ kMYSUvj9gu"" shows a Q♥, A♥.",2023-03-15T04:01:42.182Z,167885290218200
"Some players choose to not run it twice.",2023-03-15T04:01:41.373Z,167885290137301
"""Danial @ kMYSUvj9gu"" chooses to not run it twice.",2023-03-15T04:01:41.373Z,167885290137300
"""Joel @ DdWeAYaTSY"" chooses to  run it twice.",2023-03-15T04:01:39.562Z,167885289956200
"Remaining players decide whether to run it twice.",2023-03-15T04:01:38.193Z,167885289819301
"""Joel @ DdWeAYaTSY"" calls 0.23 and go all in",2023-03-15T04:01:38.193Z,167885289819300
"""Juli @ dmawfvSpk0"" bets 0.23",2023-03-15T04:01:28.895Z,167885288889500
"Turn: 2♣, A♠, 8♦ [5♦]",2023-03-15T04:01:21.559Z,167885288155900
"""Joel @ DdWeAYaTSY"" calls 0.32",2023-03-15T04:01:20.706Z,167885288070600
"""Juli @ dmawfvSpk0"" bets 0.32",2023-03-15T04:01:16.911Z,167885287691100
"Flop:  [2♣, A♠, 8♦]",2023-03-15T04:01:09.844Z,167885286984400
"""dorothy @ wzpnFqlu9P"" folds",2023-03-15T04:01:08.971Z,167885286897100
"""qipanda @ ZzutxssYJ7"" folds",2023-03-15T04:01:08.080Z,167885286808000
"""Andrew @ yhDVFE17BV"" folds",2023-03-15T04:01:07.197Z,167885286719700
"""Ayatollah Cum @ P89jLhJu-g"" folds",2023-03-15T04:01:06.330Z,167885286633000
"""Joel @ DdWeAYaTSY"" calls 3.10",2023-03-15T04:00:55.691Z,167885285569100
"""Juli @ dmawfvSpk0"" calls 3.10",2023-03-15T04:00:40.495Z,167885284049500
"""Danial @ kMYSUvj9gu"" raises to 3.10 and go all in",2023-03-15T04:00:36.378Z,167885283637800
"""dorothy @ wzpnFqlu9P"" raises to 0.08",2023-03-15T04:00:32.241Z,167885283224100
"""qipanda @ ZzutxssYJ7"" calls 0.04",2023-03-15T04:00:25.629Z,167885282562900
"The admin ""qipanda @ ZzutxssYJ7"" enqueued the game stop on next hand.",2023-03-15T04:00:21.475Z,167885282147500
"""Andrew @ yhDVFE17BV"" calls 0.04",2023-03-15T04:00:15.582Z,167885281558200
"""Ayatollah Cum @ P89jLhJu-g"" calls 0.04",2023-03-15T04:00:12.533Z,167885281253300
"""sunny @ WuCshiDEpw"" folds",2023-03-15T04:00:11.204Z,167885281120400
"""Joel @ DdWeAYaTSY"" posts a big blind of 0.04",2023-03-15T04:00:09.392Z,167885280939211
"""Juli @ dmawfvSpk0"" posts a small blind of 0.02",2023-03-15T04:00:09.392Z,167885280939210
"Your hand is 10♦, 10♠",2023-03-15T04:00:09.392Z,167885280939203
"Player stacks: #1 ""qipanda @ ZzutxssYJ7"" (10.55) | #2 ""dorothy @ wzpnFqlu9P"" (29.00) | #3 ""Danial @ kMYSUvj9gu"" (3.10) | #6 ""Juli @ dmawfvSpk0"" (6.38) | #7 ""Joel @ DdWeAYaTSY"" (3.65) | #8 ""sunny @ WuCshiDEpw"" (20.47) | #9 ""Ayatollah Cum @ P89jLhJu-g"" (3.11) | #10 ""Andrew @ yhDVFE17BV"" (17.63)",2023-03-15T04:00:09.392Z,167885280939201
"-- starting hand #112 (id: hteajerdav3t)  (No Limit Texas Hold'em) (dealer: ""Danial @ kMYSUvj9gu"") --",2023-03-15T04:00:09.392Z,167885280939200
"""Juli @ dmawfvSpk0"" shows a Q♦, Q♥.",2023-03-15T04:00:05.582Z,167885280558200
"Undealt cards: K♥, K♦, 5♥, 3♣ [10♥]",2023-03-15T04:00:05.264Z,167885280526400
"""Andrew @ yhDVFE17BV"" shows a 8♦, 8♠.",2023-03-15T04:00:03.378Z,167885280337800
"-- ending hand #111 --",2023-03-15T04:00:02.015Z,167885280201502
"""Juli @ dmawfvSpk0"" collected 2.97 from pot",2023-03-15T04:00:02.015Z,167885280201501
"Uncalled bet of 0.36 returned to ""Juli @ dmawfvSpk0""",2023-03-15T04:00:02.015Z,167885280201500
"""Andrew @ yhDVFE17BV"" folds",2023-03-15T04:00:01.104Z,167885280110400
"""Juli @ dmawfvSpk0"" bets 0.36",2023-03-15T03:59:59.217Z,167885279921700
"Turn: K♥, K♦, 5♥ [3♣]",2023-03-15T03:59:50.448Z,167885279044800
"""Andrew @ yhDVFE17BV"" calls 0.20",2023-03-15T03:59:49.573Z,167885278957300
"""Joel @ DdWeAYaTSY"" folds",2023-03-15T03:59:42.742Z,167885278274200
"""Juli @ dmawfvSpk0"" bets 0.20",2023-03-15T03:59:40.699Z,167885278069900
"Flop:  [K♥, K♦, 5♥]",2023-03-15T03:59:28.827Z,167885276882700
"""qipanda @ ZzutxssYJ7"" folds",2023-03-15T03:59:27.978Z,167885276797800
"""Andrew @ yhDVFE17BV"" calls 0.70",2023-03-15T03:59:24.183Z,167885276418300
"""Ayatollah Cum @ P89jLhJu-g"" folds",2023-03-15T03:59:22.570Z,167885276257000
"""sunny @ WuCshiDEpw"" folds",2023-03-15T03:59:21.715Z,167885276171500
"""Joel @ DdWeAYaTSY"" calls 0.70",2023-03-15T03:59:20.830Z,167885276083000
"""Juli @ dmawfvSpk0"" raises to 0.70",2023-03-15T03:59:09.354Z,167885274935400
"""Danial @ kMYSUvj9gu"" folds",2023-03-15T03:59:00.690Z,167885274069000
"""dorothy @ wzpnFqlu9P"" folds",2023-03-15T03:58:55.830Z,167885273583000
"""qipanda @ ZzutxssYJ7"" raises to 0.37",2023-03-15T03:58:53.146Z,167885273314600
"""Andrew @ yhDVFE17BV"" calls 0.04",2023-03-15T03:58:34.353Z,167885271435300
"""Ayatollah Cum @ P89jLhJu-g"" calls 0.04",2023-03-15T03:58:28.165Z,167885270816500
"""sunny @ WuCshiDEpw"" calls 0.04",2023-03-15T03:58:26.836Z,167885270683600
"""Joel @ DdWeAYaTSY"" calls 0.04",2023-03-15T03:58:25.141Z,167885270514100
"""Juli @ dmawfvSpk0"" posts a big blind of 0.04",2023-03-15T03:58:22.633Z,167885270263311
"""Danial @ kMYSUvj9gu"" posts a small blind of 0.02",2023-03-15T03:58:22.633Z,167885270263310
"Your hand is 4♦, J♦",2023-03-15T03:58:22.633Z,167885270263303
"Player stacks: #1 ""qipanda @ ZzutxssYJ7"" (10.92) | #2 ""dorothy @ wzpnFqlu9P"" (29.00) | #3 ""Danial @ kMYSUvj9gu"" (3.12) | #6 ""Juli @ dmawfvSpk0"" (4.31) | #7 ""Joel @ DdWeAYaTSY"" (4.35) | #8 ""sunny @ WuCshiDEpw"" (20.51) | #9 ""Ayatollah Cum @ P89jLhJu-g"" (3.15) | #10 ""Andrew @ yhDVFE17BV"" (18.53)",2023-03-15T03:58:22.633Z,167885270263301
"-- starting hand #111 (id: qctumbhp1yx9)  (No Limit Texas Hold'em) (dealer: ""dorothy @ wzpnFqlu9P"") --",2023-03-15T03:58:22.633Z,167885270263300
"Undealt cards: 4♥, 3♥, J♦, 5♥ [K♦]",2023-03-15T03:58:21.307Z,167885270130700
"""qipanda @ ZzutxssYJ7"" shows a 5♣, J♣.",2023-03-15T03:58:18.085Z,167885269808500
"""sunny @ WuCshiDEpw"" shows a 6♥, 7♦.",2023-03-15T03:58:17.685Z,167885269768500
"""Andrew @ yhDVFE17BV"" shows a J♠, Q♣.",2023-03-15T03:58:16.190Z,167885269619000
"-- ending hand #110 --",2023-03-15T03:58:14.629Z,167885269462902
"""qipanda @ ZzutxssYJ7"" collected 1.40 from pot",2023-03-15T03:58:14.629Z,167885269462901
"Uncalled bet of 1.05 returned to ""qipanda @ ZzutxssYJ7""",2023-03-15T03:58:14.629Z,167885269462900
"""Andrew @ yhDVFE17BV"" folds",2023-03-15T03:58:13.783Z,167885269378300
"""qipanda @ ZzutxssYJ7"" bets 1.05",2023-03-15T03:57:57.011Z,167885267701100
"""Andrew @ yhDVFE17BV"" checks",2023-03-15T03:57:43.734Z,167885266373400
"Turn: 4♥, 3♥, J♦ [5♥]",2023-03-15T03:57:42.293Z,167885266229300
"""Ayatollah Cum @ P89jLhJu-g"" folds",2023-03-15T03:57:41.405Z,167885266140500
"""sunny @ WuCshiDEpw"" folds",2023-03-15T03:57:40.524Z,167885266052400
"""Joel @ DdWeAYaTSY"" folds",2023-03-15T03:57:39.662Z,167885265966200
"""Danial @ kMYSUvj9gu"" folds",2023-03-15T03:57:38.769Z,167885265876900
"""dorothy @ wzpnFqlu9P"" folds",2023-03-15T03:57:37.719Z,167885265771900
"""qipanda @ ZzutxssYJ7"" calls 0.56",2023-03-15T03:57:08.862Z,167885262886200
"""Andrew @ yhDVFE17BV"" bets 0.56",2023-03-15T03:56:40.899Z,167885260089900
"""Ayatollah Cum @ P89jLhJu-g"" checks",2023-03-15T03:56:34.978Z,167885259497800
"""sunny @ WuCshiDEpw"" checks",2023-03-15T03:56:31.669Z,167885259166900
"""Joel @ DdWeAYaTSY"" checks",2023-03-15T03:56:28.751Z,167885258875100
"""Danial @ kMYSUvj9gu"" checks",2023-03-15T03:56:27.858Z,167885258785800
"""dorothy @ wzpnFqlu9P"" checks",2023-03-15T03:56:25.374Z,167885258537400
"Flop:  [4♥, 3♥, J♦]",2023-03-15T03:56:21.853Z,167885258185300
"""Danial @ kMYSUvj9gu"" checks",2023-03-15T03:56:20.985Z,167885258098500
"""dorothy @ wzpnFqlu9P"" calls 0.04",2023-03-15T03:56:17.399Z,167885257739900
